url	imdb_url
/wiki/Doctor_Zhivago_(film)	tt0059113
/wiki/Dodsworth_(film)	tt0027532
/wiki/Dog_Day_Afternoon	tt0072890
/wiki/The_Dollar_Bottom	tt0080643
/wiki/Don%27t_(film)	tt0071430
/wiki/The_Dot_and_the_Line	tt0059122
/wiki/A_Double_Life	tt0039335
/wiki/The_Dove_(1927_film)	tt0017822
/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film)	tt0022835
/wiki/How_the_Grinch_Stole_Christmas_(film)	tt0170016
/wiki/Dreamgirls_(film)	tt0443489
/wiki/Driving_Miss_Daisy	tt0097239
/wiki/The_Duchess_(film)	tt0864761
/wiki/Dumbo	tt0033563
/wiki/Dylan_Thomas_(film)	tt0055943
/wiki/E.T._the_Extra-Terrestrial	tt0083866
/wiki/Earthquake_(film)	tt0071455
/wiki/East_of_Eden_(film)	tt0048028
/wiki/Easter_Parade_(film)	tt0040308
/wiki/Ed_Wood_(film)	tt0109707
/wiki/Educating_Peter	tt0104167
/wiki/Election_Night_(film)	tt0189179
/wiki/The_Eleanor_Roosevelt_Story	tt0059145
/wiki/Elizabeth_(1998_film)	tt0127536
/wiki/Elizabeth:_The_Golden_Age	tt0414055
/wiki/Elmer_Gantry_(film)	tt0053793
/wiki/Emma_(1996_film)	tt0116191
/wiki/Star_Wars_Episode_V:_The_Empire_Strikes_Back	tt0080684
/wiki/The_End_of_the_Game_(film)	tt0072939
/wiki/The_Enemy_Below	tt0050356
/wiki/The_English_Patient_(film)	tt0116209
/wiki/Erin_Brockovich_(film)	tt0195685
/wiki/Ersatz_(film)	tt0054854
/wiki/Eskimo_(film)	tt0023990
/wiki/Eternal_Sunshine_of_the_Spotless_Mind	tt0338013
/wiki/Every_Child_(film)	tt0079126
/wiki/Evita_(film)	tt0116250
/wiki/Exodus_(1960_film)	tt0053804
/wiki/The_Exorcist_(film)	tt0070047
/wiki/The_Face_of_Lincoln	tt0048049
/wiki/Facing_Your_Danger	tt0038515
/wiki/The_Facts_of_Life_(film)	tt0053810
/wiki/Fame_(1980_film)	tt0080716
/wiki/Fanny_and_Alexander	tt0083922
/wiki/The_Fantastic_Flying_Books_of_Mr._Morris_Lessmore	tt1778342
/wiki/Fantastic_Voyage	tt0060397
/wiki/A_Farewell_to_Arms_(1932_film)	tt0022879
/wiki/Fargo_(film)	tt0116282
/wiki/The_Farmer%27s_Daughter_(1947_film)	tt0039370
/wiki/Father_and_Daughter_(film)	tt0279079
/wiki/Father_Goose_(film)	tt0058092
/wiki/8%C2%BD	tt0056801
/wiki/Fellini%27s_Casanova	tt0074291
/wiki/Ferdinand_the_Bull_(film)	tt0030128
/wiki/Fiddler_on_the_Roof_(film)	tt0067093
/wiki/The_Fighter_(2010_film)	tt0964517
/wiki/The_Fighting_Lady	tt0036823
/wiki/Finding_Nemo	tt0266543
/wiki/Finding_Neverland	tt0308644
/wiki/First_Steps_(1947_film)	tt0039384
/wiki/A_Fish_Called_Wanda	tt0095159
/wiki/The_Fisher_King_(film)	tt0101889
/wiki/Flamenco_at_5:15	tt0085548
/wiki/Flashdance	tt0085549
/wiki/The_Flight_of_the_Gossamer_Condor	tt0077564
/wiki/Flowers_and_Trees	tt0022899
/wiki/The_Fly_(1986_film)	tt0091064
/wiki/The_Fog_of_War	tt0317910
/wiki/For_Scent-imental_Reasons	tt0041380
/wiki/For_the_Birds_(film)	tt0248808
/wiki/For_Whom_the_Bell_Tolls_(film)	tt0035896
/wiki/Forrest_Gump	tt0109830
/wiki/The_Fortune_Cookie	tt0060424
/wiki/Frank_Film	tt0070071
/wiki/Franz_Kafka%27s_It%27s_a_Wonderful_Life	tt0106961
/wiki/A_Free_Soul	tt0021885
/wiki/Freeheld	tt0914369
/wiki/The_French_Connection_(film)	tt0067116
/wiki/Frenchman%27s_Creek_(film)	tt0036840
/wiki/Frida	tt0120679
/wiki/From_Here_to_Eternity	tt0045793
/wiki/From_Mao_to_Mozart:_Isaac_Stern_in_China	tt0080762
/wiki/The_Fugitive_(1993_film)	tt0106977
/wiki/The_Full_Monty	tt0119164
/wiki/Funny_Girl_(film)	tt0062994
/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum_(film)	tt0060438
/wiki/Gandhi_(film)	tt0083987
/wiki/The_Garden_of_the_Finzi-Continis_(film)	tt0065777
/wiki/Gaslight_(1944_film)	tt0036855
/wiki/Gate_of_Hell_(film)	tt0045935
/wiki/The_Gay_Divorcee	tt0025164
