url	imdb_url	Title	Year
/wiki/Boys_Town_(film)	tt0029942	Boys Town	1938
/wiki/Bram_Stoker%27s_Dracula	tt0103874	Dracula	1992
/wiki/Brave_(2012_film)	tt1217209	Brave	2012
/wiki/The_Brave_One_(1956_film)	tt0049030	The Brave One	1956
/wiki/Braveheart	tt0112573	Braveheart	1995
/wiki/Breakfast_at_Tiffany%27s_(film)	tt0054698	Breakfast at Tiffany's	1961
/wiki/Breaking_Away	tt0078902	Breaking Away	1979
/wiki/The_Sound_Barrier	tt0044446	Breaking the Sound Barrier	1952
/wiki/Breathing_Lessons:_The_Life_and_Work_of_Mark_O%27Brien	tt0115753	Breathing Lessons: The Life and Work of Mark O'Brien	1996
/wiki/The_Bridge_of_San_Luis_Rey_(1929_film)	tt0019722	The Bridge of San Luis Rey	1929
/wiki/The_Bridge_on_the_River_Kwai	tt0050212	The Bridge on the River Kwai	1957
/wiki/The_Bridges_at_Toko-Ri	tt0046806	The Bridges at Toko-Ri	1954
/wiki/Broadway_Melody_of_1936	tt0026144	Broadway Melody of 1936	1935
/wiki/The_Broadway_Melody	tt0019729	The Broadway Melody	1929
/wiki/Brokeback_Mountain	tt0388795	Brokeback Mountain	2005
/wiki/Broken_Lance	tt0046808	Broken Lance	1954
/wiki/Broken_Rainbow_(film)	tt0088857	Broken Rainbow	1985
/wiki/The_Buddy_Holly_Story	tt0077280	The Buddy Holly Story	1978
/wiki/Bugsy	tt0101516	Bugsy	1991
/wiki/Bullets_Over_Broadway	tt0109348	Bullets Over Broadway	1994
/wiki/Bullitt	tt0062765	Bullitt	1968
/wiki/Bunny_(1998_film)	tt0179011	Bunny	1998
/wiki/Burnt_by_the_Sun	tt0111579	Burnt by the Sun	1994
/wiki/Busy_Little_Bears	tt0031128	Busy Little Bears	1939
/wiki/Butch_Cassidy_and_the_Sundance_Kid	tt0064115	Butch Cassidy and the Sundance Kid	1969
/wiki/BUtterfield_8	tt0053622	BUtterfield 8	1960
/wiki/Butterflies_Are_Free	tt0068326	Butterflies Are Free	1972
/wiki/Cabaret_(film)	tt0068327	Cabaret	1972
/wiki/Cactus_Flower_(film)	tt0064117	Cactus Flower	1969
/wiki/Calamity_Jane_(1953_film)	tt0045591	Calamity Jane	1953
/wiki/California_Suite_(film)	tt0077289	California Suite	1978
/wiki/Call_Me_Madam_(film)	tt0045592	Call Me Madam	1953
/wiki/Camelot_(film)	tt0061439	Camelot	1967
/wiki/The_Candidate_(1972_film)	tt0068334	The Candidate	1972
/wiki/Capote_(film)	tt0379725	Capote	2005
/wiki/Captain_Carey,_U.S.A.	tt0042310	Captain Carey, U.S.A.	1950
/wiki/Captains_Courageous_(1937_film)	tt0028691	Captains Courageous	1937
/wiki/Casablanca_(film)	tt0034583	Casablanca	1942
